Regione,Disabilità,Anziani,Totale,file
Abruzzo,1609.02,4026.84,3747.13,g1US091A209OG2000000.csv
Basilicata,13159.779999999999,3442.9,5237.46,g1US091A209OG2000000.csv
Calabria,10349.52,4946.88,6060.26,g1US091A209OG2000000.csv
Campania,7861.76,7130.639999999999,7459.58,g1US091A209OG2000000.csv
Emilia-Romagna,7038.76,3990.3900000000003,4498.11,g1US091A209OG2000000.csv
Friuli-Venezia Giulia,22825.69,6251.07,9556.91,g1US091A209OG2000000.csv
Italia,11787.97,3982.6099999999997,5417.82,g1US091A209OG2000000.csv
Lazio,17625.72,9831.33,11313.16,g1US091A209OG2000000.csv
Liguria,8405.39,4908.7300000000005,5049.88,g1US091A209OG2000000.csv
Lombardia,14232.36,5929.9,8083.35,g1US091A209OG2000000.csv
Marche,10871.99,2909.35,3839.1,g1US091A209OG2000000.csv
Molise,2980.13,6164.15,5622.1900000000005,g1US091A209OG2000000.csv
Piemonte,7563.15,4311.09,5376.99,g1US091A209OG2000000.csv
Puglia,8557.189999999999,7786.660000000001,7871.75,g1US091A209OG2000000.csv
Sardegna,9595.11,7870.2,8281.1,g1US091A209OG2000000.csv
Sicilia,18517.39,11056.84,15123.3,g1US091A209OG2000000.csv
Toscana,8873.43,4267.07,4646.8099999999995,g1US091A209OG2000000.csv
Trentino Alto Adige / Südtirol,37401.46,537.46,4467.93,g1US091A209OG2000000.csv
Umbria,8687.72,4911.01,5437.66,g1US091A209OG2000000.csv
Valle d'Aosta / Vallée d'Aoste,,23570.7,23570.7,g1US091A209OG2000000.csv
Veneto,6449.21,1055.3600000000001,1733.4900000000002,g1US091A209OG2000000.csv
Abruzzo,4113.29,4890.29,4812.219999999999,g1UT091A209OG2000000.csv
Basilicata,10023.55,4498.7300000000005,5761.54,g1UT091A209OG2000000.csv
Calabria,23743,2905.6,4426.58,g1UT091A209OG2000000.csv
Campania,9122.23,7394.49,8286.89,g1UT091A209OG2000000.csv
Emilia-Romagna,7072.530000000001,3532.15,4086.8,g1UT091A209OG2000000.csv
Friuli-Venezia Giulia,25657.05,6716.289999999999,10321.539999999999,g1UT091A209OG2000000.csv
Italia,11897.68,4790.01,6168.12,g1UT091A209OG2000000.csv
Lazio,15714.6,11201.5,12261.66,g1UT091A209OG2000000.csv
Liguria,8470.93,4782.18,4932.8,g1UT091A209OG2000000.csv
Lombardia,15217.170000000002,5898.29,8394.27,g1UT091A209OG2000000.csv
Marche,10097.92,2877.13,3780.4,g1UT091A209OG2000000.csv
Molise,3098.71,9137.91,6789.33,g1UT091A209OG2000000.csv
Piemonte,7398.360000000001,4752.25,5688.16,g1UT091A209OG2000000.csv
Puglia,9473.22,7886.51,8135.87,g1UT091A209OG2000000.csv
Sardegna,8920.85,7562.9800000000005,7926.8,g1UT091A209OG2000000.csv
Sicilia,19191.6,10785.98,15399.570000000002,g1UT091A209OG2000000.csv
Toscana,8461.08,4395.9400000000005,4797.469999999999,g1UT091A209OG2000000.csv
Trentino Alto Adige / Südtirol,35496.82,15104.070000000002,17372.879999999997,g1UT091A209OG2000000.csv
