unit,lev_limit,sex,geo\time,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 
PC_PNT,SEV,F,AL,: ,27.3 ,37.7 ,28.6 ,31.2 ,: ,: ,: 
PC_PNT,SEV,F,AT,20.4 ,41.5 ,45.1 ,40.0 ,38.8 ,34.6 ,33.3 ,36.0 
PC_PNT,SEV,F,BE,55.3 ,51.2 ,51.9 ,54.8 u,54.2 ,49.4 ,51.8 ,49.9 
PC_PNT,SEV,F,BG,: u,: u,: u,: u,42.7 u,: u,: u,: u
PC_PNT,SEV,F,CH,: ,32.8 ,38.0 ,40.1 ,31.2 ,34.3 ,27.4 ,31.1 
PC_PNT,SEV,F,CY,: ,37.2 u,41.2 u,41.7 u,35.3 u,38.9 u,30.5 ,27.7 
PC_PNT,SEV,F,CZ,47.4 ,43.1 ,44.0 ,36.7 ,41.6 ,38.8 u,43.2 u,47.3 u
PC_PNT,SEV,F,DE,48.0 ,52.6 b,49.3 ,55.3 ,45.4 ,48.6 ,45.0 ,44.7 
PC_PNT,SEV,F,DK,20.4 ,41.8 ,39.5 u,40.2 u,49.2 u,47.6 u,44.3 ,47.4 u
PC_PNT,SEV,F,EA,: ,37.1 ,38.0 e,37.8 ,34.3 ,36.0 ,35.8 ,37.2 
PC_PNT,SEV,F,EA18,: ,37.0 ,37.9 e,: ,: ,: ,: ,: 
PC_PNT,SEV,F,EA19,: ,37.1 ,38.0 e,37.8 ,34.3 ,36.0 ,35.8 ,37.3 
PC_PNT,SEV,F,EE,31.9 ,31.1 ,27.1 ,36.4 ,33.3 ,35.9 ,41.9 ,36.1 
PC_PNT,SEV,F,EL,: ,29.3 ,28.8 ,29.5 ,28.1 ,24.9 ,25.1 ,25.5 
PC_PNT,SEV,F,ES,28.8 ,30.4 ,35.2 ,35.2 ,33.0 ,37.1 ,34.4 ,34.7 
PC_PNT,SEV,F,EU,: ,: ,40.6 e,: ,: ,: ,: ,: 
PC_PNT,SEV,F,EU27_2007,: ,: ,40.6 e,: ,: ,: ,: ,: 
PC_PNT,SEV,F,EU27_2020,: ,38.2 ,39.0 e,38.6 ,35.6 ,37.0 ,36.7 ,38.3 
PC_PNT,SEV,F,EU28,: ,: ,40.6 e,: ,: ,: ,: ,: 
PC_PNT,SEV,F,FI,52.2 u,43.8 ,31.4 ,42.6 ,34.3 ,40.4 ,34.3 ,27.8 
PC_PNT,SEV,F,FR,: ,36.1 b,28.3 ,28.4 ,24.8 ,28.0 ,34.6 ,35.5 
PC_PNT,SEV,F,HR,42.9 ,41.2 ,40.3 ,37.8 ,37.6 ,31.0 ,38.0 ,35.8 u
PC_PNT,SEV,F,HU,: ,45.0 u,52.5 u,38.3 ,45.2 ,47.9 ,40.3 ,46.7 
PC_PNT,SEV,F,IE,: u,: u,53.0 u,41.5 u,52.1 u,49.5 u,48.4 u,44.6 u
PC_PNT,SEV,F,IS,: ,: ,: ,38.9 ,39.0 ,40.0 ,50.1 ,49.4 u
PC_PNT,SEV,F,IT,27.7 p,23.0 ,32.0 ,27.6 ,25.3 ,22.3 ,19.7 ,21.2 
PC_PNT,SEV,F,LT,: ,49.7 u,57.4 u,: u,51.5 u,: u,: u,53.2 u
PC_PNT,SEV,F,LU,: ,40.7 b,34.8 ,33.7 ,28.9 ,31.5 ,24.4 ,19.9 
PC_PNT,SEV,F,LV,42.3 ,41.1 ,42.5 u,38.6 ,33.8 ,42.6 ,38.4 ,33.5 
PC_PNT,SEV,F,ME,: ,24.0 ,15.4 ,18.8 ,28.3 u,20.7 u,23.1 ,21.1 u
PC_PNT,SEV,F,MK,: ,34.6 u,28.0 u,27.3 u,29.8 u,28.4 u,24.2 u,: u
PC_PNT,SEV,F,MT,: ,37.4 u,17.3 u,: u,: u,: u,: u,: u
PC_PNT,SEV,F,NL,: ,53.3 u,53.7 ,50.2 ,47.2 ,51.1 ,50.9 ,42.7 
PC_PNT,SEV,F,NO,: ,57.6 u,47.8 u,55.5 u,57.3 u,57.0 u,59.3 u,56.8 u
PC_PNT,SEV,F,PL,: ,40.5 ,43.8 ,45.4 ,39.8 ,39.8 ,41.4 ,41.8 
PC_PNT,SEV,F,PT,: ,22.1 ,30.7 ,28.2 ,24.9 ,34.0 ,29.2 ,33.0 
PC_PNT,SEV,F,RO,: u,: u,: u,: u,: u,51.0 u,50.7 u,50.4 u
PC_PNT,SEV,F,RS,: ,: u,: u,: u,32.8 u,: u,27.4 u,27.5 u
PC_PNT,SEV,F,SE,41.2 u,45.4 u,42.7 u,48.4 u,38.0 u,42.0 u,33.9 u,: u
PC_PNT,SEV,F,SI,: ,23.4 ,22.2 ,25.5 ,20.6 ,24.4 ,14.1 ,18.6 
PC_PNT,SEV,F,SK,: ,44.0 ,42.7 ,41.4 ,44.2 ,41.5 ,37.5 ,33.8 
PC_PNT,SEV,F,TR,: ,15.0 ,15.4 ,17.4 ,17.3 ,17.1 ,16.9 ,17.5 
PC_PNT,SEV,F,UK,: ,: ,: ,45.1 ,46.0 ,49.9 ,46.6 ,50.9 
PC_PNT,SEV,F,XK,: ,: ,: ,: u,: ,: ,: ,: 
PC_PNT,SEV,M,AL,: ,42.9 ,47.8 ,41.6 ,51.3 ,: ,: ,: 
PC_PNT,SEV,M,AT,32.8 ,57.3 ,53.0 ,51.1 ,52.2 ,54.9 ,54.6 ,54.8 
PC_PNT,SEV,M,BE,59.9 ,64.6 u,62.4 ,55.4 ,51.6 ,54.4 ,56.4 u,56.3 u
PC_PNT,SEV,M,BG,46.4 u,: u,: u,: u,59.8 u,: u,: u,: u
PC_PNT,SEV,M,CH,: ,36.6 ,31.7 ,41.1 ,42.0 ,46.7 ,40.1 ,37.2 
