unit,lev_limit,age,sex,geo,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
PC,NONE,Y16-24,F,AL,,34.7,35.7,37.8,37.5,,,,,,,
PC,NONE,Y16-24,F,AT,1.5,2.6,3.5,2.6,3.1,3.0,3.0,4.5,3.7,3.3,3.5,4.5
PC,NONE,Y16-24,F,BE,3.7,4.2,5.7 b,5.7,5.0,6.3,6.9,7.0,6.0,7.6,4.6,7.4
PC,NONE,Y16-24,F,BG,16.9,20.0,17.7,17.9,31.8,33.0,33.4,31.7,42.0,46.3,43.6,47.1
PC,NONE,Y16-24,F,CH,,0.4,1.2,1.6,0.9,3.6,1.1,0.6,0.7,1.3,1.6,1.6
PC,NONE,Y16-24,F,CY,,9.9,13.3,10.8,12.2,18.1,18.3,21.9,20.2,19.6,13.4,13.0
PC,NONE,Y16-24,F,CZ,3.4,3.2,6.0,6.1,5.6,6.9,8.3,6.9,8.3,9.2,6.6,7.6
PC,NONE,Y16-24,F,DE,3.8,4.7 b,3.1,2.9,3.5,3.9,3.9,4.0,4.4,3.1,5.4,4.7
PC,NONE,Y16-24,F,DK,1.4,2.8,1.8,5.7,4.6,2.5,10.8,6.4,4.2,2.0,2.1,2.8
PC,NONE,Y16-24,F,EA,,6.8,5.3,5.9 e,6.7 e,7.5 e,7.6 e,8.3 e,8.8 e,8.0 e,7.8 e,7.2 e
PC,NONE,Y16-24,F,EA18,,6.8,5.3,5.9,6.6,7.4,7.5,8.3,8.9,8.2,8.0,7.4
PC,NONE,Y16-24,F,EA19,,6.8,5.3,5.9,6.7,7.5,7.6,8.3,8.9,8.3,8.1,7.5
PC,NONE,Y16-24,F,EE,0.5,2.6,2.3,5.1,3.3,4.1,3.7,6.7,8.0,9.4,11.0,9.4
PC,NONE,Y16-24,F,EL,,22.9,20.5,21.0,26.8,32.2,30.3,31.8,29.2,25.6,21.0,20.3
PC,NONE,Y16-24,F,ES,9.0,9.6,6.5,7.4,7.7,9.6,7.7,8.3,8.0,6.3,7.7,6.8
PC,NONE,Y16-24,F,EU,,,6.0 e,6.7,7.5,8.3,9.0,10.2,11.5,11.5,10.5,10.3
PC,NONE,Y16-24,F,EU27_2007,,,6.0 e,6.7,7.5,8.3,8.9,10.1,11.5,11.5,10.5,10.3
PC,NONE,Y16-24,F,EU27_2020,,7.1,5.9 e,6.6 e,7.8 e,8.8 e,9.1 e,10.1 e,11.5 e,11.3 e,10.9 e,10.6 e
PC,NONE,Y16-24,F,EU28,,,6.0 e,6.7,7.5,8.3,9.0,10.2,11.5,11.5,10.5,10.3
PC,NONE,Y16-24,F,FI,4.6,4.8,0.9,2.0,2.3,2.4,2.0,4.9,4.4,4.9,4.9,4.8
PC,NONE,Y16-24,F,FR,,6.2 b,4.6,5.2,5.7,5.0,5.6,6.6,7.1,6.4,6.5,7.0
PC,NONE,Y16-24,F,HR,4.9,4.5,5.9,7.1,8.4,12.1,12.7,16.1,18.2,17.2,18.1,15.4
PC,NONE,Y16-24,F,HU,,7.6,10.2,13.1,16.5,17.5,22.0,28.8,32.4,29.0,27.1,25.6
