anno,Limitazioni gravi,Limitazioni non gravi,Senza limitazioni,Non indicato,Totale,file,tavola,pagina,regione
2009,1.6,6.4,84.4,7.7,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Piemonte
2010,1.3,5.5,84.6,8.6,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Piemonte
2011,0.9,5.8,84,9.2,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Piemonte
2012,1,5.7,84.1,9.2,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Piemonte
2013,1.3,5.5,85.1,8.2,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Piemonte
2014,1.3,6,86.7,6,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Piemonte
2015,1.4,7,86.9,4.7,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Piemonte
2016,1.6,6.9,85.7,5.8,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Piemonte
2017,1.3,7.3,85.8,5.6,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Piemonte
2018,1.1,8,87,3.9,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Piemonte
2019,1.5,7.5,86.5,4.5,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,0-44 anni,Piemonte
2009,3.5,18.1,72.8,5.6,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Piemonte
2010,3.3,17.1,72.3,7.4,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Piemonte
2011,3.1,15.8,73.4,7.7,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Piemonte
2012,3.2,14.9,75.1,6.8,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Piemonte
2013,3.6,16.1,73.7,6.6,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Piemonte
2014,3.6,16,73.8,6.6,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Piemonte
2015,3.1,17,74,5.8,100,g1V30927P09OH200000000_st,Tavola: a.2 Persone per gravità delle limitazioni nelle attività abitualmente svolte (valori percentuali) per classe di età,45-64 anni,Piemonte
